,Activity Id,Students Sets,Subject,Teachers,Room,SKS,Schedules
84,85,CE-02-01,23372 - CEA3231 - PRAKTIKUM SISTEM BASIS DATA,BLM,LAB,1,Schedule 4
238,239,IS-03-02,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,LAB,3,Schedule 5
354,355,EE-03-01,23332 - FEA2211 - PRAKTIKUM ELEKTRONIKA,SSJ,LAB,1,Schedule 5
224,225,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,LAB,3,Schedule 5
265,266,CE-04-01,23198 - SCA1213 - FISIKA 2,ONI,KELAS,3,Schedule 5
283,284,DB-01-02,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,KELAS,2,Schedule 5
363,364,IT-02-02,23773 - ITA3263 - MANAJEMEN RISIKO,SWP,KELAS,3,Schedule 5
343,344,IE-02-02,23642 - IEA40J3 - MANAJEMEN LEAN DAN LOGISTIK,SIL,KELAS,3,Schedule 5
301,302,IF-01-01,23925 - IFB1244 - SISTEM DIGITAL,RFM,KELAS,3,Schedule 5
218,219,IS-04-04,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2,Schedule 5
254,255,IS-03-01,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NPI,LAB,3,Schedule 5
190,191,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,Schedule 5
374,375,SE-02-01,23705 - SEA3273 - DASAR PEMODELAN PERANGKAT LUNAK,TTK,KELAS,3,Schedule 5
259,260,TE-04-02,23193 - MAA1023 - MATEMATIKA DISKRIT,NRR,KELAS,3,Schedule 5
315,316,IS-03-03,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,KELAS,3,Schedule 5
197,198,EE-02-01,23391 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,KHL,KELAS,2,Schedule 5
296,297,IE-03-03,23581 - IEA2222 - ANALISA DAN PERANCANGAN KERJA,RDP,KELAS,2,Schedule 5
307,308,DS-01-01,23877 - DSB1214 - ALGORITMA DAN STRUKTUR DATA,RGT,LAB,3,Schedule 5
335,336,IS-04-03,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2,Schedule 5
322,323,TE-03-01,23222 - TEA2211 - PRAKTIKUM MIKROPROSESOR,RMU,LAB,1,Schedule 5
204,205,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,LAB,3,Schedule 5
82,83,IE-04-02,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,KELAS,2,Schedule 5
121,122,CE-03-01,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,KELAS,3,Schedule 5
144,145,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB,3,Schedule 5
108,109,IE-03-01,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3,Schedule 5
95,96,IS-04-02,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,DAU,KELAS,3,Schedule 5
85,86,CE-02-01,23367 - CEA3233 - SISTEM BASIS DATA,BLM,KELAS,3,Schedule 5
171,172,IS-04-01,23795 - MAA1033 - TEORI PROBABILITAS,HNF,KELAS,3,Schedule 5
152,153,TE-02-01,23252 - TEA3221 - PRAKTIKUM ELEKTRONIKA TELEKOMUNIKASI,HAM,LAB,1,Schedule 5
155,156,DB-01-01,23982 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2,Schedule 5
70,71,IT-03-02,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3,Schedule 5
42,43,CE-01-01,23286 - CEA40C3 - MEKATRONIKA,ARA,KELAS,3,Schedule 5
40,41,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,KELAS,3,Schedule 5
64,65,IE-03-02,23577 - IEA2213 - PENELITIAN OPERASIONAL 2,ASA,KELAS,3,Schedule 5
134,135,TE-02-02,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB,1,Schedule 5
6,7,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2,Schedule 5
22,23,IF-01-02,23921 - FIB1052 - BAHASA  INGGRIS,ALD,KELAS,2,Schedule 5
13,14,EE-04-01,23291 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2,Schedule 5
35,36,IT-02-01,23861 - ITA40H3 - KRIPTOGRAFI,ANA,KELAS,3,Schedule 5
3,4,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,KELAS,2,Schedule 6
114,115,EE-02-01,23310 - EEA3231 - PRAKTIKUM SISTEM INSTRUMENTASI DAN PENGUKURAN,DMS,LAB,1,Schedule 6
236,237,IS-02-02,23822 - ISA3213 - KEAMANAN SISTEM INFORMASI,NAS,KELAS,3,Schedule 6
109,110,IE-03-02,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3,Schedule 6
347,348,IS-04-01,23796 - MAA1013 - MATRIKS DAN VEKTOR,SRI,KELAS,3,Schedule 6
